skill,status,has_template_ref,template_refs,has_workflow_ref,body_lines,has_template_fence,has_antipatterns
_shared/advanced-elicitation,needs_template,False,,False,137,False,False
_shared/chunked-refactor,needs_template,False,,False,136,False,True
_shared/workflow-engine,inline_template,True,inline,False,189,False,False
bmb/agent-builder,needs_template,False,,False,68,False,False
bmb/module-builder,partial,True,inline,False,38,False,False
bmb/module-builder/assets/setup-skill-template,needs_template,False,,False,76,False,False
bmb/workflow-builder,needs_template,False,,False,77,False,False
bmm/brainstorm,thin_wrapper,False,,True,14,False,False
bmm/code-review,thin_wrapper,False,,True,12,False,False
bmm/correct-course,thin_wrapper,False,,True,12,False,False
bmm/create-architecture,inline_template,True,architecture.md;architecture.md;architecture.md,False,83,True,True
bmm/create-prd,inline_template,True,prd.md;prd.md;prd.md,False,91,True,True
bmm/create-story,thin_wrapper,False,,True,107,False,True
bmm/create-ux-design,thin_wrapper,False,,True,14,False,False
bmm/dev-story,thin_wrapper,False,,True,81,False,True
bmm/document-project,thin_wrapper,False,,True,14,False,False
bmm/edit-prd,thin_wrapper,False,,True,14,False,False
bmm/epics-stories,inline_template,True,epics-stories.template.md;epics-stories.template.md,False,83,True,True
bmm/product-brief,needs_template,False,,False,95,False,False
bmm/provision-profiles,inline_template,True,inline,False,305,True,False
bmm/quick-dev,thin_wrapper,False,,True,12,False,False
bmm/quick-spec,thin_wrapper,False,,True,14,False,False
bmm/research,inline_template,True,research.template.md,False,112,True,True
bmm/research/bmad-domain-research,thin_wrapper,False,,True,6,False,False
bmm/research/bmad-market-research,thin_wrapper,False,,True,6,False,False
bmm/research/bmad-technical-research,thin_wrapper,False,,True,6,False,False
bmm/research/gds-domain-research,thin_wrapper,False,,True,6,False,False
bmm/review-adversarial-general,needs_template,False,,False,51,False,False
bmm/review-edge-case-hunter,needs_template,False,,False,106,False,False
bmm/solutioning-gate-check,thin_wrapper,False,,True,12,False,False
bmm/sprint-planning,thin_wrapper,False,,True,12,False,False
bmm/validate-prd,thin_wrapper,False,,True,14,False,False
cis/brainstorming,needs_template,False,,False,57,False,False
cis/design-thinking,needs_template,False,,False,58,False,False
cis/innovation-strategy,needs_template,False,,False,57,False,False
cis/presentation,needs_template,False,,False,68,False,False
cis/problem-solving,needs_template,False,,False,57,False,False
cis/storytelling,needs_template,False,,False,62,False,False
core/analyst,needs_template,False,,False,83,False,False
core/architect,needs_template,False,,False,110,False,False
core/bmad-master,inline_template,True,inline,False,144,True,False
core/builder,inline_template,True,inline,False,240,True,False
core/dev,needs_template,False,,False,152,False,False
core/pm,inline_template,True,inline,False,112,True,False
core/qa,needs_template,False,,False,63,False,False
core/quick-flow-solo-dev,needs_template,False,,False,55,False,False
core/sm,needs_template,False,,False,134,False,False
core/tech-writer,needs_template,False,,False,59,False,False
core/ux-designer,needs_template,False,,False,116,False,False
critics,needs_template,False,,False,243,False,True
status,needs_template,False,,False,62,False,True
tea/atdd,thin_wrapper,False,,True,12,False,False
tea/automate,thin_wrapper,False,,True,12,False,False
tea/ci,partial,True,inline,True,12,False,False
tea/nfr,thin_wrapper,False,,True,12,False,False
tea/test-design,thin_wrapper,False,,True,12,False,False
tea/test-framework,thin_wrapper,False,,True,12,False,False
tea/test-review,thin_wrapper,False,,True,12,False,False
tea/trace,thin_wrapper,False,,True,12,False,False
